Lattices initiated in 0.27 seconds
Specimen build in 0.12 seconds
         231495 function calls (230204 primitive calls) in 0.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        3    0.000    0.000    0.000    0.000 _dtype.py:346(_name_get)
        4    0.000    0.000    0.000    0.000 __init__.py:1595(makeRecord)
       18    0.000    0.000    0.000    0.000 snippet.py:109(process_kwargs)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1098(emit)
       59    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 program.py:303(bind)
        2    0.000    0.000    0.000    0.000 glfw.py:673(glfwGetFramebufferSize)
        1    0.000    0.000    0.000    0.000 numeric.py:2123(identity)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       26    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        1    0.000    0.000    0.000    0.000 parser.py:35(set_default_options)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:200(reshape)
        3    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        4    0.000    0.000    0.000    0.000 __init__.py:965(handle)
        5    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      8/7    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 base_collection.py:127(__init__)
       42    0.000    0.000    0.000    0.000 argparse.py:1399(_registry_get)
        3    0.000    0.000    0.001    0.000 quantitative_scale.py:30(__init__)
        3    0.000    0.000    0.000    0.000 program.py:247(_build_hooks)
       18    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        1    0.000    0.000    0.000    0.000 subprocess.py:1278(_close_pipe_fds)
        2    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
       79    0.000    0.000    0.000    0.000 variable.py:156(dtype)
       18    0.000    0.000    0.000    0.000 argparse.py:846(__init__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 selectors.py:351(register)
       85    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 argparse.py:590(_metavar_formatter)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       10    0.000    0.000    0.000    0.000 argparse.py:931(__init__)
        3    0.000    0.000    0.000    0.000 viewport.py:133(on_attach)
        1    0.000    0.000    0.082    0.082 collection.py:215(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 {built-in method posix.chdir}
       17    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        2    0.000    0.000    0.000    0.000 viewport.py:66(__init__)
       57    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        4    0.000    0.000    0.000    0.000 __init__.py:674(format)
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:411(realpath)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 configuration.py:48(__init__)
        3    0.000    0.000    0.000    0.000 shader.py:349(__init__)
        1    0.000    0.000    0.006    0.006 agg_point_collection.py:21(__init__)
       14    0.000    0.000    0.000    0.000 contextlib.py:344(__exit__)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
       18    0.000    0.000    0.000    0.000 argparse.py:1853(_add_action)
        9    0.000    0.000    0.000    0.000 parser.py:154(get_externs)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1636(handle)
       42    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
        8    0.000    0.000    0.000    0.000 gpudata.py:38(__array_finalize__)
       72    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:581(dgettext)
        1    0.000    0.000    0.004    0.004 figure.py:29(add_axes)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       18    0.000    0.000    0.000    0.000 argparse.py:1612(_check_conflict)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 window.py:132(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        3    0.000    0.000    0.000    0.000 {built-in method posix.read}
        4    0.000    0.000    0.000    0.000 __init__.py:1087(flush)
       53    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 variable.py:342(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        4    0.000    0.000    0.000    0.000 program.py:137(hooks)
        2    0.000    0.000    0.000    0.000 subprocess.py:1963(_wait)
        1    0.000    0.000    0.000    0.000 backend_glfw_deprecated.py:212(on_error)
        1    0.000    0.000    0.000    0.000 event.py:231(set_handlers)
        4    0.000    0.000    0.000    0.000 __init__.py:942(format)
        3    0.000    0.000    0.001    0.000 linear_scale.py:33(__init__)
        1    0.000    0.000    0.000    0.000 glfw.py:196(glfwGetVersion)
     10/4    0.000    0.000    0.036    0.009 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 variable.py:355(set_data)
        1    0.000    0.000    0.000    0.000 <string>:2(glfwSetFramebufferSizeCallback)
       22    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       18    0.000    0.000    0.000    0.000 argparse.py:599(format)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        4    0.000    0.000    0.000    0.000 __init__.py:440(_format)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       36    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
        4    0.000    0.000    0.000    0.000 __init__.py:164(<lambda>)
