Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/2    0.000    0.000    0.036    0.018 <frozen importlib._bootstrap>:666(_load_unlocked)
       50    0.000    0.000    0.000    0.000 <frozen os>:755(encode)
        1    0.000    0.000    0.059    0.059 figure.py:11(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1561(findCaller)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       14    0.000    0.000    0.000    0.000 glfw.py:754(__callback__)
        2    0.000    0.000    0.000    0.000 viewport.py:147(__init__)
       14    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
       34    0.000    0.000    0.001    0.000 __init__.py:173(search)
        1    0.000    0.000    0.000    0.000 twodim_base.py:158(eye)
       77    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       56    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        2    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        4    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
       36    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        3    0.000    0.000    0.007    0.002 selectors.py:402(select)
        1    0.000    0.000    0.000    0.000 backend_glfw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 panzoom.py:69(__init__)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:200(reshape)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 backend_glfw_deprecated.py:149(set_configuration)
        4    0.000    0.000    0.000    0.000 __init__.py:1610(_log)
       23    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        4    0.000    0.000    0.000    0.000 event.py:209(_get_handlers)
       38    0.000    0.000    0.000    0.000 glob.py:222(has_magic)
      4/2    0.000    0.000    0.000    0.000 _internal.py:88(_array_descr)
        6    0.000    0.000    0.000    0.000 shader.py:87(__init__)
        1    0.000    0.000    0.005    0.005 raw_point_collection.py:26(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 subprocess.py:1278(_close_pipe_fds)
      151    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:194(_is_internal_frame)
       18    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       22    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       47    0.000    0.000    0.000    0.000 transform.py:30(_get_kwarg)
       37    0.000    0.000    0.000    0.000 argparse.py:1395(register)
       15    0.000    0.000    0.000    0.000 parser.py:31(remove_version)
        4    0.000    0.000    0.000    0.000 __init__.py:1690(callHandlers)
       18    0.000    0.000    0.000    0.000 argparse.py:2588(_get_formatter)
        4    0.000    0.000    0.000    0.000 __init__.py:1098(emit)
       28    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       24    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 __init__.py:1491(warning)
        3    0.000    0.000    0.001    0.000 quantitative_scale.py:30(__init__)
       14    0.000    0.000    0.000    0.000 glob.py:31(iglob)
      128    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 gpudata.py:122(__setitem__)
        6    0.000    0.000    0.000    0.000 locale.py:396(normalize)
       59    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       28    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       38    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      4/2    0.000    0.000    0.036    0.018 <frozen importlib._bootstrap_external>:934(exec_module)
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
        6    0.000    0.000    0.000    0.000 snippet.py:445(__call__)
        1    0.000    0.000    0.000    0.000 numeric.py:2123(identity)
       18    0.000    0.000    0.000    0.000 argparse.py:1674(_add_action)
       18    0.000    0.000    0.000    0.000 snippet.py:109(process_kwargs)
        1    0.000    0.000    0.007    0.007 subprocess.py:1161(communicate)
       61    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1595(makeRecord)
        2    0.000    0.000    0.000    0.000 program.py:303(bind)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        3    0.000    0.000    0.000    0.000 gettext.py:522(translation)
       51    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       79    0.000    0.000    0.000    0.000 variable.py:156(dtype)
        1    0.000    0.000    0.001    0.001 parser.py:16(get_default)
        1    0.000    0.000    0.080    0.080 collection.py:215(__init__)
